Spanish,English
no,no
el,he
lo,the
por,by
me,I
una,a
te,tea
con,with
está,this
su,his
del,of the
como,as
le,you
más,plus
esto,this
ya,already
todo,everything
esta,this
hay,there is
ahora,now
estoy,I am
nos,us
tú,you
cuando,when
ha,he has
este,this
sé,I know
estás,these
así,So
puedo,may l
cómo,how
quiero,I want
sólo,alone
tiene,has
gracias,thanks
o,or
él,he
bueno,Okay
fue,was
ser,to be
creo,I believe
he,I
puede,can
sabes,you know
hola,Hello
dios,God
dónde,where
quieres,you want
casa,House
dos,two
tan,so
señor,Sir
tiempo,weather
verdad,truth
estaba,I was
